variant,seed,task_id,acc,context_entropy,context_margin,context_top1_acc,context_brier,context_ece,latent_frechet_margin,prototype_weight,class2_margin_vs4,class5_margin_vs4,class2_logit_rank,class5_logit_rank,route_dominance,effective_hosts
reference_v22c,4,3,0.012,0.5839707255363464,0.5718454718589783,0.06400000303983688,1.1206121444702148,0.7172114253044128,16.114883422851562,0.9499999284744263,,,,,0.8628591299057007,1.6867492198944092
reference_v22c,4,4,0.1825,0.45706072449684143,0.6879846453666687,0.36000001430511475,0.7722734808921814,0.492352694272995,9.85093879699707,0.9499999284744263,,,,,0.6451424360275269,2.1233322620391846
reference_v22c,4,5,0.087,0.5590869188308716,0.5984983444213867,0.1679999977350235,0.9782522916793823,0.6190260052680969,20.670169830322266,0.9499999284744263,,,,,0.7284133434295654,2.121922492980957
reference_v22c,4,6,0.669,0.09584514796733856,0.967157244682312,1.0,0.0013159285299479961,0.01896621659398079,85.39746856689453,0.9499999284744263,,,,,0.4587041735649109,3.013803005218506
reference_v22c,4,7,0.6255,0.06138477474451065,0.9786373972892761,1.0,0.0008625839836895466,0.01228465884923935,152.51596069335938,0.9499999284744263,,,,,0.8607977628707886,1.5771393775939941
reference_v22c,4,8,0.532,0.13055013120174408,0.9512425065040588,1.0,0.002062820363789797,0.027195937931537628,59.165531158447266,0.9499999284744263,,,,,0.6785187125205994,2.809051513671875
reference_v22c,4,9,0.464,0.06526476889848709,0.9768255352973938,1.0,0.0008523474098183215,0.012932352721691132,124.49424743652344,0.9499999284744263,,,,,0.9579700827598572,1.2180310487747192
context_ema_retention,0,0,0.0145,0.1600920408964157,0.9339116215705872,0.0,1.9207165241241455,0.9645191431045532,47.3208122253418,0.9499999284744263,1.3955715894699097,,32.220001220703125,,0.6067168116569519,2.367905378341675
context_ema_retention,0,1,0.007,0.12878228724002838,0.9462591409683228,0.0,1.9273755550384521,0.9715209603309631,80.79303741455078,0.9499999284744263,,2.015796661376953,,29.6299991607666,0.5568477511405945,2.4568517208099365
context_ema_retention,0,2,0.002,0.15243881940841675,0.9351094961166382,0.0,1.8984555006027222,0.9655768871307373,56.82121658325195,0.9499999284744263,,,,,0.6452199816703796,2.196120262145996
context_ema_retention,0,3,0.146,0.26575544476509094,0.8466652631759644,0.06400000303983688,1.686332106590271,0.8913553953170776,23.74656105041504,0.9499999284744263,,,,,0.6535768508911133,2.188581705093384
context_ema_retention,0,4,0.087,0.20144999027252197,0.9024495482444763,0.0,1.8533366918563843,0.9484938383102417,41.70222091674805,0.9499999284744263,,,,,0.5820687413215637,2.3204801082611084
context_ema_retention,0,5,0.34,0.20794497430324554,0.8786212205886841,0.8320000171661377,0.2013065367937088,0.16523803770542145,17.15981101989746,0.9499999284744263,,,,,0.43055492639541626,3.2206387519836426
context_ema_retention,0,6,0.629,0.09233932197093964,0.9643130898475647,1.0,0.0015124718192964792,0.01952846348285675,73.32134246826172,0.9499999284744263,,,,,0.4743891954421997,2.6359221935272217
context_ema_retention,0,7,0.5765,0.0845310315489769,0.9681529998779297,1.0,0.0013706948375329375,0.01773727312684059,97.59628295898438,0.9499999284744263,,,,,0.563315212726593,2.246595859527588
context_ema_retention,0,8,0.4215,0.14207778871059418,0.9440615177154541,1.0,0.0024795697536319494,0.030714180320501328,13.990781784057617,0.9499999284744263,,,,,0.497327983379364,2.8612687587738037
context_ema_retention,0,9,0.411,0.0955783799290657,0.96115642786026,1.0,0.0016004201024770737,0.020736001431941986,110.58551788330078,0.9499999284744263,,,,,0.5688495635986328,2.353086233139038
context_ema_retention,4,0,0.0595,0.6342419385910034,0.5690585374832153,0.0,1.6232917308807373,0.7722458839416504,16.72545051574707,0.9499999284744263,-2.183755874633789,,45.86750030517578,,0.6410317420959473,2.6738569736480713
context_ema_retention,4,1,0.0,0.1462712436914444,0.9401175379753113,0.0,1.9136366844177246,0.967926025390625,67.45486450195312,0.9499999284744263,,-3.1109042167663574,,44.86000061035156,0.8851845264434814,1.580380916595459
context_ema_retention,4,2,0.2385,0.29741907119750977,0.8125336766242981,0.6159999966621399,0.703575074672699,0.4144153594970703,11.165257453918457,0.9499999284744263,,,,,0.5799113512039185,2.9245660305023193
context_ema_retention,4,3,0.0995,0.6414080262184143,0.5373544692993164,0.06400000303983688,1.1171269416809082,0.6917615532875061,5.422220706939697,0.9499999284744263,,,,,0.4643499255180359,3.228992462158203
context_ema_retention,4,4,0.469,0.21307502686977386,0.8885394334793091,0.871999979019165,0.15581963956356049,0.12425608932971954,13.589439392089844,0.9499999284744263,,,,,0.7329119443893433,1.9687858819961548
context_ema_retention,4,5,0.281,0.13632731139659882,0.9440261125564575,1.0,0.0025277521926909685,0.030163250863552094,45.60641098022461,0.9499999284744263,,,,,0.43916141986846924,3.7115728855133057
context_ema_retention,4,6,0.6925,0.10446196049451828,0.9609853625297546,1.0,0.001646044198423624,0.02186240255832672,99.90110778808594,0.9499999284744263,,,,,0.723554253578186,2.384854793548584
context_ema_retention,4,7,0.622,0.06759613007307053,0.976117730140686,1.0,0.0009609253029339015,0.013701535761356354,105.00599670410156,0.9499999284744263,,,,,0.6815797686576843,2.4036569595336914
