seed,after_task,task_id,context_top1_task_acc,context_entropy_mean,context_dominance_mean,route_entropy_normalized,route_dominance_mean,effective_hosts_from_mean_route,n_items,dominant_pred_context,dominant_pred_rate,is_oldest_two,is_recent_two
3,9,1,0.0,0.0,1.0,0.7818374920464878,0.4720759689807892,4.281233310699463,512,9,1.0,True,False
3,9,2,0.0,0.1269463449716568,0.9550474882125854,0.6789602394668909,0.5455756187438965,4.076149940490723,512,9,1.0,False,False
3,9,3,0.5,3.814902005405685e-10,1.0,0.4655718975977861,0.7015077471733093,3.400744199752808,512,9,0.5,False,False
3,9,4,0.25,2.707805091262116e-10,1.0,0.6066604418943826,0.5952796339988708,3.759907484054565,512,9,0.75,False,False
3,9,5,1.0,8.276702505361e-16,1.0,0.4994797123812053,0.6856581568717957,3.315161943435669,512,5,1.0,False,False
3,9,6,1.0,0.0,1.0,0.161325777715599,0.9143756031990052,1.5902243852615356,512,6,1.0,False,False
3,9,7,1.0,0.0,1.0,0.0939619036048204,0.9621791839599608,1.2227448225021362,512,7,1.0,False,False
3,9,8,1.0,0.0,1.0,0.3079286957768013,0.8149768114089966,2.1775941848754883,512,8,1.0,False,True
3,9,9,1.0,0.0,1.0,0.727610468093283,0.4958578944206238,4.239043235778809,512,9,1.0,False,True
4,9,0,0.0,7.328791980398819e-05,0.999993860721588,1.0457253996372428e-10,1.0,1.0,512,9,0.75,True,False
4,9,1,0.0,0.0,1.0,1.4260462953129747e-10,1.0,1.0,512,9,1.0,True,False
4,9,2,0.5,0.0858290717005729,0.978275716304779,4.28878971214836e-10,1.0,1.0,512,9,0.5,False,False
4,9,3,1.0,9.713113286125008e-06,0.9999991655349731,4.232049918870853e-10,1.0,1.0,512,3,1.0,False,False
4,9,4,0.75,9.224138193530962e-05,0.9999918937683104,1.234640876952302e-09,1.0,1.0,512,4,0.75,False,False
4,9,5,1.0,8.948703203565995e-39,1.0,1.4912156932717836e-10,1.0,1.0,512,5,1.0,False,False
4,9,6,1.0,0.0,1.0,1.9555442287702573e-08,1.0,1.0,512,6,1.0,False,False
4,9,7,1.0,0.0,1.0,2.8387564317566635e-09,1.0,1.0,512,7,1.0,False,False
4,9,8,1.0,9.229439683622332e-07,1.0,1.216869410528453e-07,1.0,1.000000238418579,512,8,1.0,False,True
4,9,9,1.0,0.0,1.0,1.2421313084721086e-10,1.0,1.0,512,9,1.0,False,True
