variant,seed,after_task,task_id,acc,context_entropy,context_margin,context_top1_acc,context_brier,context_ece,latent_frechet_margin,prototype_weight,class2_margin_vs4,class5_margin_vs4,class2_logit_rank,class5_logit_rank
reference_v22c,4,9,1,0.0,0.11354941129684448,0.9562966227531433,0.0,1.9424115419387817,0.9762974381446838,80.83037567138672,0.9499999284744263,,0.6159194707870483,,26.43000030517578
reference_v22c,4,9,2,0.0875,0.4468536674976349,0.6685841679573059,0.06400000303983688,1.3335051536560059,0.7624452710151672,11.086949348449707,0.9499999284744263,,,,
reference_v22c,4,9,3,0.012,0.5839707255363464,0.5718454718589783,0.06400000303983688,1.1206121444702148,0.7172114253044128,16.114883422851562,0.9499999284744263,,,,
reference_v22c,4,9,4,0.1825,0.4570607542991638,0.6879846453666687,0.36000001430511475,0.7722734808921814,0.492352694272995,9.85093879699707,0.9499999284744263,,,,
reference_v22c,4,9,5,0.087,0.5590869188308716,0.5984983444213867,0.1679999977350235,0.9782522916793823,0.6190260052680969,20.670169830322266,0.9499999284744263,,,,
reference_v22c,4,9,6,0.669,0.09584514796733856,0.967157244682312,1.0,0.0013159285299479961,0.01896621659398079,85.39746856689453,0.9499999284744263,,,,
reference_v22c,4,9,7,0.6255,0.06138477846980095,0.9786373972892761,1.0,0.0008625839836895466,0.01228465884923935,152.51596069335938,0.9499999284744263,,,,
reference_v22c,4,9,8,0.532,0.13055014610290527,0.9512425065040588,1.0,0.002062820363789797,0.027195937931537628,59.165531158447266,0.9499999284744263,,,,
reference_v22c,4,9,9,0.464,0.06526476889848709,0.9768255352973938,1.0,0.0008523474098183215,0.012932352721691132,124.49424743652344,0.9499999284744263,,,,
context_ema_retention,0,0,0,0.326,8.432152198700749e-10,1.0,1.0,3.015785402785049e-21,0.0,999943.125,0.9499999284744263,0.9468738436698914,,2.942500114440918,
context_ema_retention,0,1,0,0.083,0.0834708958864212,0.9586235284805298,0.0,1.9192391633987427,0.9793868064880371,84.26765441894531,0.9499999284744263,0.7829716205596924,,7.309999942779541,
context_ema_retention,0,1,1,0.377,0.005418017040938139,0.9974567294120789,1.0,0.00010979660873999819,0.0013242773711681366,225.26722717285156,0.9499999284744263,,8.369945526123047,,2.950000047683716
context_ema_retention,0,2,0,0.052,0.4889620244503021,0.6427318453788757,0.0,1.6758064031600952,0.8181353807449341,25.305063247680664,0.9499999284744263,0.026972180232405663,,12.529999732971191,
context_ema_retention,0,2,1,0.332,0.04434091970324516,0.9830438494682312,1.0,0.0006080177263356745,0.008951123803853989,148.33905029296875,0.9499999284744263,,7.9312968254089355,,3.1075000762939453
context_ema_retention,0,2,2,0.4905,0.07993811368942261,0.9643664360046387,1.0,0.0015745616983622313,0.018265295773744583,110.76348114013672,0.9499999284744263,,,,
context_ema_retention,0,3,0,0.055,0.12897908687591553,0.9426641464233398,0.0,1.9306268692016602,0.970212459564209,39.697845458984375,0.9499999284744263,0.15755519270896912,,13.3149995803833,
context_ema_retention,0,3,1,0.333,0.053398676216602325,0.9770509004592896,1.0,0.000926128588616848,0.01188482716679573,151.622314453125,0.9499999284744263,,8.137425422668457,,2.6449999809265137
context_ema_retention,0,3,2,0.451,0.0789165198802948,0.9641743302345276,1.0,0.0015829055337235332,0.018337517976760864,99.9240951538086,0.9499999284744263,,,,
context_ema_retention,0,3,3,0.3155,0.10915585607290268,0.9515599012374878,1.0,0.0021196973975747824,0.025100484490394592,79.46394348144531,0.9499999284744263,,,,
context_ema_retention,0,4,0,0.01,0.26767727732658386,0.8237841725349426,0.0,1.845697045326233,0.9041406512260437,14.770156860351562,0.9499999284744263,-0.02522467076778412,,18.219999313354492,
context_ema_retention,0,4,1,0.323,0.07838684320449829,0.968368649482727,1.0,0.0012887476477771997,0.016955234110355377,89.80186462402344,0.9499999284744263,,8.791115760803223,,2.4800000190734863
context_ema_retention,0,4,2,0.428,0.08378592133522034,0.9666732549667358,1.0,0.0014086609007790685,0.018172577023506165,130.52774047851562,0.9499999284744263,,,,
context_ema_retention,0,4,3,0.314,0.12816870212554932,0.9466489553451538,1.0,0.0023048724979162216,0.028513096272945404,71.37662506103516,0.9499999284744263,,,,
context_ema_retention,0,4,4,0.6125,0.09638749063014984,0.9586222767829895,1.0,0.0017009871080517769,0.02150030806660652,92.23188018798828,0.9499999284744263,,,,
context_ema_retention,0,5,0,0.0455,0.1256760060787201,0.9496787786483765,0.0,1.9366482496261597,0.9728312492370605,44.02857971191406,0.9499999284744263,-0.7486589550971985,,21.627500534057617,
context_ema_retention,0,5,1,0.064,0.23365777730941772,0.848954439163208,0.1679999977350235,1.5481915473937988,0.8165113925933838,20.44179916381836,0.9499999284744263,,3.6381661891937256,,11.914999961853027
context_ema_retention,0,5,2,0.052,0.5067383646965027,0.5963180065155029,0.12800000607967377,1.0391623973846436,0.6744901537895203,20.675373077392578,0.9499999284744263,,,,
context_ema_retention,0,5,3,0.0555,0.14944058656692505,0.937861979007721,0.0,1.9008055925369263,0.9668095111846924,18.047992706298828,0.9499999284744263,,,,
context_ema_retention,0,5,4,0.5515,0.13441094756126404,0.9434937834739685,1.0,0.0024447483010590076,0.03004486858844757,17.120861053466797,0.9499999284744263,,,,
context_ema_retention,0,5,5,0.447,0.09444563090801239,0.9585438370704651,1.0,0.00174636987503618,0.021376952528953552,90.00082397460938,0.9499999284744263,,,,
context_ema_retention,0,6,0,0.0405,0.3061535656452179,0.8133663535118103,0.0,1.8253531455993652,0.9029755592346191,9.288692474365234,0.9499999284744263,-0.7957136631011963,,26.25,
context_ema_retention,0,6,1,0.277,0.4733971059322357,0.6491008400917053,1.0,0.07557263970375061,0.1782025396823883,38.79740905761719,0.9499999284744263,,7.513903617858887,,3.5
context_ema_retention,0,6,2,0.3765,0.12014385312795639,0.9534773230552673,1.0,0.001982285873964429,0.025733374059200287,24.840797424316406,0.9499999284744263,,,,
context_ema_retention,0,6,3,0.161,0.32931938767433167,0.7855815291404724,0.8080000281333923,0.4061250388622284,0.2906292974948883,14.346766471862793,0.9499999284744263,,,,
context_ema_retention,0,6,4,0.527,0.14288125932216644,0.940837025642395,1.0,0.0025838061701506376,0.03174936771392822,38.3786506652832,0.9499999284744263,,,,
context_ema_retention,0,6,5,0.4195,0.1040140688419342,0.9543582797050476,1.0,0.0019945509266108274,0.023676108568906784,64.03907012939453,0.9499999284744263,,,,
context_ema_retention,0,6,6,0.7325,0.07871513068675995,0.9691950678825378,1.0,0.001246945234015584,0.016632426530122757,138.54739379882812,0.9499999284744263,,,,
context_ema_retention,0,7,0,0.0115,0.3335299491882324,0.7704211473464966,0.0,1.808039665222168,0.87485671043396,8.39469051361084,0.9499999284744263,-0.5689362287521362,,29.792499542236328,
context_ema_retention,0,7,1,0.2875,0.4878726899623871,0.6371713876724243,1.0,0.07901428639888763,0.18781504034996033,50.896358489990234,0.9499999284744263,,7.272428512573242,,4.082499980926514
context_ema_retention,0,7,2,0.3585,0.13000018894672394,0.9503456950187683,1.0,0.002154766349121928,0.02772742509841919,33.64384460449219,0.9499999284744263,,,,
context_ema_retention,0,7,3,0.2005,0.1699938178062439,0.919873833656311,1.0,0.008663815446197987,0.042940884828567505,26.493907928466797,0.9499999284744263,,,,
context_ema_retention,0,7,4,0.537,0.13597950339317322,0.9437049627304077,1.0,0.002443015808239579,0.03013288974761963,50.48937225341797,0.9499999284744263,,,,
context_ema_retention,0,7,5,0.3775,0.11421540379524231,0.9516263008117676,1.0,0.0021349559538066387,0.025596197694540024,67.7652587890625,0.9499999284744263,,,,
context_ema_retention,0,7,6,0.6765,0.09447187185287476,0.9637356996536255,1.0,0.0014853611355647445,0.019853666424751282,74.07434844970703,0.9499999284744263,,,,
context_ema_retention,0,7,7,0.623,0.07368434220552444,0.9735729694366455,1.0,0.0010823089396581054,0.014990590512752533,110.58555603027344,0.9499999284744263,,,,
context_ema_retention,0,8,0,0.0295,0.5736061334609985,0.5887495279312134,0.0,1.6488289833068848,0.7877480983734131,19.064733505249023,0.9499999284744263,-0.3591778874397278,,35.08000183105469,
context_ema_retention,0,8,1,0.002,0.6363685131072998,0.5517888069152832,0.0,1.5902477502822876,0.7610697150230408,21.300823211669922,0.9499999284744263,,3.382550001144409,,20.302499771118164
context_ema_retention,0,8,2,0.354,0.12809786200523376,0.9463573694229126,1.0,0.002394275041297078,0.02861747518181801,19.40177345275879,0.9499999284744263,,,,
context_ema_retention,0,8,3,0.202,0.13456612825393677,0.9421629905700684,1.0,0.0026240949518978596,0.030520446598529816,26.98854637145996,0.9499999284744263,,,,
context_ema_retention,0,8,4,0.372,0.40020260214805603,0.7047562003135681,0.6244999766349792,0.4754024147987366,0.337948739528656,8.615968704223633,0.9499999284744263,,,,
context_ema_retention,0,8,5,0.3325,0.12194781005382538,0.9479203224182129,1.0,0.0023468672297894955,0.027566660195589066,65.77030181884766,0.9499999284744263,,,,
context_ema_retention,0,8,6,0.6565,0.0970357209444046,0.9620054960250854,1.0,0.0015920947771519423,0.0206555537879467,72.81171417236328,0.9499999284744263,,,,
context_ema_retention,0,8,7,0.5995,0.07728273421525955,0.9717815518379211,1.0,0.00118764687795192,0.015931710600852966,103.58039093017578,0.9499999284744263,,,,
context_ema_retention,0,8,8,0.474,0.1245446726679802,0.9535800814628601,1.0,0.0019743165466934443,0.026006218045949936,65.15421295166016,0.9499999284744263,,,,
context_ema_retention,0,9,0,0.0145,0.1600920408964157,0.9339116215705872,0.0,1.9207165241241455,0.9645191431045532,47.3208122253418,0.9499999284744263,1.3955715894699097,,32.220001220703125,
context_ema_retention,0,9,1,0.007,0.12878228724002838,0.9462591409683228,0.0,1.9273755550384521,0.9715209603309631,80.79303741455078,0.9499999284744263,,2.015796661376953,,29.6299991607666
context_ema_retention,0,9,2,0.002,0.15243883430957794,0.9351094961166382,0.0,1.8984555006027222,0.9655768871307373,56.82121658325195,0.9499999284744263,,,,
context_ema_retention,0,9,3,0.146,0.26575544476509094,0.8466652631759644,0.06400000303983688,1.686332106590271,0.8913553953170776,23.74656105041504,0.9499999284744263,,,,
context_ema_retention,0,9,4,0.087,0.20144999027252197,0.9024495482444763,0.0,1.8533366918563843,0.9484938383102417,41.70222091674805,0.9499999284744263,,,,
context_ema_retention,0,9,5,0.34,0.20794497430324554,0.8786212205886841,0.8320000171661377,0.2013065367937088,0.16523803770542145,17.15981101989746,0.9499999284744263,,,,
context_ema_retention,0,9,6,0.629,0.09233932197093964,0.9643130898475647,1.0,0.0015124718192964792,0.01952846348285675,73.32134246826172,0.9499999284744263,,,,
context_ema_retention,0,9,7,0.5765,0.0845310315489769,0.9681529998779297,1.0,0.0013706948375329375,0.01773727312684059,97.59628295898438,0.9499999284744263,,,,
context_ema_retention,0,9,8,0.4215,0.14207778871059418,0.9440615177154541,1.0,0.0024795697536319494,0.030714180320501328,13.990781784057617,0.9499999284744263,,,,
context_ema_retention,0,9,9,0.411,0.0955783799290657,0.96115642786026,1.0,0.0016004201024770737,0.020736001431941986,110.58551788330078,0.9499999284744263,,,,
context_ema_retention,4,0,0,0.3995,6.8349448323346e-10,1.0,1.0,3.2800986890641515e-21,0.0,999979.9375,0.9499999284744263,1.3973416090011597,,2.7925000190734863,
context_ema_retention,4,1,0,0.111,0.10803525149822235,0.9395973682403564,0.0,1.8853602409362793,0.9651358127593994,94.67456817626953,0.9499999284744263,2.621910333633423,,6.789999961853027,
context_ema_retention,4,1,1,0.413,0.0033688503317534924,0.9987229704856873,1.0,4.467602411750704e-05,0.0006603822112083435,244.55935668945312,0.9499999284744263,,9.909490585327148,,3.309999942779541
context_ema_retention,4,2,0,0.1285,0.12316709011793137,0.9404259920120239,0.0,1.9124103784561157,0.9700202941894531,75.17474365234375,0.9499999284744263,-0.8469224572181702,,11.5600004196167,
context_ema_retention,4,2,1,0.4015,0.037719760090112686,0.9825031161308289,1.0,0.0007311059162020683,0.008744742721319199,100.11613464355469,0.9499999284744263,,9.813019752502441,,3.0399999618530273
context_ema_retention,4,2,2,0.499,0.06092207506299019,0.9708279967308044,1.0,0.001315159723162651,0.014594893902540207,162.646728515625,0.9499999284744263,,,,
context_ema_retention,4,3,0,0.0945,0.1236068531870842,0.9432512521743774,0.0,1.9323352575302124,0.9709200859069824,38.08147048950195,0.9499999284744263,-0.978142261505127,,17.270000457763672,
context_ema_retention,4,3,1,0.4065,0.0447157584130764,0.9802289605140686,1.0,0.0008019863162189722,0.010034628212451935,124.99069213867188,0.9499999284744263,,10.478161811828613,,2.7125000953674316
context_ema_retention,4,3,2,0.4335,0.06527832895517349,0.9704453349113464,1.0,0.0012586981756612659,0.01500985398888588,136.3560028076172,0.9499999284744263,,,,
context_ema_retention,4,3,3,0.2745,0.13899531960487366,0.9257878065109253,0.9359999895095825,0.07829778641462326,0.070960134267807,35.922916412353516,0.9499999284744263,,,,
context_ema_retention,4,4,0,0.0535,0.16899801790714264,0.9172219038009644,0.0,1.9089692831039429,0.9561928510665894,29.010683059692383,0.9499999284744263,-0.783607006072998,,21.537500381469727,
context_ema_retention,4,4,1,0.4015,0.06109658628702164,0.9746478199958801,1.0,0.0009872385999187827,0.01314602792263031,92.32048797607422,0.9499999284744263,,9.259110450744629,,3.127500057220459
context_ema_retention,4,4,2,0.427,0.07323135435581207,0.9691707491874695,1.0,0.001303216558881104,0.016178887337446213,149.51206970214844,0.9499999284744263,,,,
context_ema_retention,4,4,3,0.2875,0.12263678014278412,0.9507913589477539,1.0,0.0021600269246846437,0.026884153485298157,47.27315139770508,0.9499999284744263,,,,
context_ema_retention,4,4,4,0.6595,0.10230963677167892,0.9555460214614868,1.0,0.0018535861745476723,0.02297479286789894,93.10443115234375,0.9499999284744263,,,,
context_ema_retention,4,5,0,0.0575,0.17424872517585754,0.9181497693061829,0.0,1.9081605672836304,0.9560106992721558,25.299640655517578,0.9499999284744263,-1.1823229789733887,,25.357500076293945,
context_ema_retention,4,5,1,0.391,0.0823688805103302,0.9659700393676758,1.0,0.0013888333924114704,0.017905645072460175,73.18643951416016,0.9499999284744263,,8.976518630981445,,3.380000114440918
context_ema_retention,4,5,2,0.3785,0.11582144349813461,0.953075647354126,1.0,0.0020089689642190933,0.02528420090675354,31.678035736083984,0.9499999284744263,,,,
context_ema_retention,4,5,3,0.168,0.3832176625728607,0.7280523180961609,0.5519999861717224,0.5954616665840149,0.39377444982528687,9.829108238220215,0.9499999284744263,,,,
context_ema_retention,4,5,4,0.6295,0.1398402452468872,0.9398135542869568,1.0,0.002646308159455657,0.03159700334072113,24.5437068939209,0.9499999284744263,,,,
context_ema_retention,4,5,5,0.3795,0.09470611065626144,0.9613355994224548,1.0,0.0015361488331109285,0.020484406501054764,92.92330169677734,0.9499999284744263,,,,
context_ema_retention,4,6,0,0.056,0.27430352568626404,0.8441238403320312,0.0,1.8464242219924927,0.917182207107544,36.776405334472656,0.9499999284744263,-1.02943754196167,,30.477500915527344,
context_ema_retention,4,6,1,0.3705,0.11243142932653427,0.9426224827766418,1.0,0.007182577159255743,0.02986866980791092,71.1707763671875,0.9499999284744263,,8.386968612670898,,3.549999952316284
context_ema_retention,4,6,2,0.3865,0.11378929018974304,0.9552971124649048,1.0,0.0019158294890075922,0.02442426234483719,62.4511833190918,0.9499999284744263,,,,
context_ema_retention,4,6,3,0.193,0.129781574010849,0.9526610374450684,1.0,0.002005324000492692,0.026867840439081192,23.910888671875,0.9499999284744263,,,,
context_ema_retention,4,6,4,0.5815,0.14231957495212555,0.9404693841934204,1.0,0.002595308003947139,0.03164315223693848,44.728328704833984,0.9499999284744263,,,,
context_ema_retention,4,6,5,0.339,0.11958286911249161,0.9513571858406067,1.0,0.0020506992004811764,0.026088904589414597,58.783870697021484,0.9499999284744263,,,,
context_ema_retention,4,6,6,0.7005,0.07056728005409241,0.973914384841919,1.0,0.0010272128274664283,0.014477632939815521,125.23894500732422,0.9499999284744263,,,,
context_ema_retention,4,7,0,0.0495,0.3462480306625366,0.7835415005683899,0.0,1.797561764717102,0.886142373085022,25.712970733642578,0.9499999284744263,-1.4119709730148315,,35.25749969482422,
context_ema_retention,4,7,1,0.314,0.5596771836280823,0.5894462466239929,1.0,0.08856508135795593,0.2089451402425766,65.93251037597656,0.9499999284744263,,4.976810932159424,,8.737500190734863
context_ema_retention,4,7,2,0.3515,0.24312658607959747,0.849627673625946,1.0,0.026756800711154938,0.07789523899555206,47.0696907043457,0.9499999284744263,,,,
context_ema_retention,4,7,3,0.198,0.11881528049707413,0.950665295124054,1.0,0.002213213127106428,0.026465430855751038,25.279294967651367,0.9499999284744263,,,,
context_ema_retention,4,7,4,0.5275,0.13691101968288422,0.9406492710113525,1.0,0.00267762946896255,0.03126398101449013,55.030662536621094,0.9499999284744263,,,,
context_ema_retention,4,7,5,0.3015,0.12361200898885727,0.9452268481254578,1.0,0.00251570250838995,0.0285964235663414,48.933780670166016,0.9499999284744263,,,,
context_ema_retention,4,7,6,0.704,0.08522128313779831,0.9636209607124329,1.0,0.0016003141645342112,0.019198790192604065,94.64043426513672,0.9499999284744263,,,,
context_ema_retention,4,7,7,0.6225,0.04277869686484337,0.9827437400817871,1.0,0.0007315020775422454,0.009384002536535263,123.16386413574219,0.9499999284744263,,,,
context_ema_retention,4,8,0,0.0595,0.6584149599075317,0.567649781703949,0.0,1.6127666234970093,0.7643834352493286,7.571981430053711,0.9499999284744263,-1.649067997932434,,40.872501373291016,
context_ema_retention,4,8,1,0.0795,0.6265283823013306,0.5940870642662048,0.3840000033378601,1.047850251197815,0.5899454951286316,7.48516321182251,0.9499999284744263,,-0.4350353181362152,,31.8700008392334
context_ema_retention,4,8,2,0.3275,0.2101590931415558,0.8791158199310303,1.0,0.020138142630457878,0.06337756663560867,41.02655792236328,0.9499999284744263,,,,
context_ema_retention,4,8,3,0.1435,0.3343963325023651,0.803920328617096,0.5759999752044678,0.6106036305427551,0.3618696331977844,9.769577026367188,0.9499999284744263,,,,
context_ema_retention,4,8,4,0.5305,0.14274165034294128,0.9408673048019409,1.0,0.0025954616721719503,0.031649310141801834,49.51342010498047,0.9499999284744263,,,,
context_ema_retention,4,8,5,0.274,0.1335582733154297,0.9443206191062927,1.0,0.0025045431684702635,0.029820673167705536,49.317909240722656,0.9499999284744263,,,,
context_ema_retention,4,8,6,0.693,0.10876522213220596,0.9578724503517151,1.0,0.0017952389316633344,0.023206528276205063,94.18086242675781,0.9499999284744263,,,,
context_ema_retention,4,8,7,0.629,0.057990532368421555,0.9787089824676514,1.0,0.0008449407760053873,0.011945415288209915,116.49268341064453,0.9499999284744263,,,,
context_ema_retention,4,8,8,0.514,0.09826292842626572,0.9614778757095337,1.0,0.001638806308619678,0.02101241424679756,80.92611694335938,0.9499999284744263,,,,
context_ema_retention,4,9,0,0.0595,0.6342419385910034,0.5690585374832153,0.0,1.6232917308807373,0.7722458839416504,16.72545051574707,0.9499999284744263,-2.183755874633789,,45.86750030517578,
