method,seed,after_task,n_seen_classes,pred_entropy,pred_entropy_normalized,effective_predicted_classes,max_pred_mass,dominant_pred_class,min_true_class_recall,zero_recall_classes,collapse_warning,audit_only
baseline_lwf,4,9,50,2.528811648758289,0.6464204441664644,12.53859702244962,0.22405,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24, 26, 30, 31, 33]",True,True
baseline_noisy_topk_moe,0,9,50,1.5759921280627864,0.4028586043272268,4.835536710713319,0.26815,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_noisy_topk_moe,1,9,50,1.5471132840164468,0.3954765301404778,4.697889118077686,0.3389,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_noisy_topk_moe,2,9,50,1.5398114856669396,0.393610028246349,4.663711011743279,0.2729,47,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_noisy_topk_moe,3,9,50,1.6158350886623312,0.4130433503126826,5.032088409314054,0.3876,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44]",True,True
baseline_noisy_topk_moe,4,9,50,1.6397699016284952,0.4191616203057152,5.153983452585515,0.3465,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 41, 42, 43, 44]",True,True
baseline_pnn,0,9,50,1.5540121989142248,0.3972400460728242,4.730411510920839,0.33495,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_pnn,1,9,50,1.5904291666878303,0.4065490321710846,4.905853905672914,0.24555,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_pnn,2,9,50,1.5759407009083704,0.4028454584039169,4.835288039214501,0.2514,46,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_pnn,3,9,50,1.536829448402957,0.3928477532648765,4.649824367254118,0.25895,46,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_pnn,4,9,50,1.593935997447082,0.4074454560301431,4.923088106099825,0.23185,48,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_sparse_moe,0,9,50,1.5476117942314214,0.395603960427642,4.700231647630809,0.2815,49,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_sparse_moe,1,9,50,1.574985278481809,0.4026012312035054,4.830670502783136,0.28155,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_sparse_moe,2,9,50,1.4546300726822443,0.3718357664727088,4.282898811247256,0.38115,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_sparse_moe,3,9,50,1.4837371201357172,0.3792761745206893,4.409393361013819,0.32995,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
baseline_sparse_moe,4,9,50,1.5710184522253672,0.4015872222748928,4.811546029006927,0.2928,45,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",True,True
paired_context_blend_selected_global,0,9,50,3.1875053509205458,0.8147971897143007,24.22791185389545,0.1174,49,0.0,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 13]",True,True
paired_context_blend_selected_global,1,9,50,3.4612632222849715,0.8847757841613608,31.85719382479463,0.10935,47,0.0,"[1, 2, 3, 4, 6, 7, 8, 9]",True,True
paired_context_blend_selected_global,2,9,50,3.261114726190019,0.8336133815330441,26.07859143459052,0.11355,49,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 17, 18, 19]",True,True
paired_context_blend_selected_global,3,9,50,3.4046567483506625,0.8703059117051497,30.10396071609761,0.10435,45,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]",True,True
paired_context_blend_selected_global,4,9,50,3.624662325782467,0.9265442255204148,37.51205416718637,0.08775,36,0.005,[],False,True
paired_context_gap_safe_class_balanced_readout_calibrated,0,9,50,3.206212663182011,0.8195791943792804,24.6854169694878,0.11535,49,0.0,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 13]",True,True
paired_context_gap_safe_class_balanced_readout_calibrated,1,9,50,3.4876394139792253,0.8915181248013968,32.708644932219165,0.0929,47,0.0,"[1, 2, 3, 4, 6, 7, 8, 9]",True,True
paired_context_gap_safe_class_balanced_readout_calibrated,2,9,50,3.619991530678844,0.9253502665132356,37.33725159953968,0.05635,48,0.0,"[1, 3, 4, 5, 6, 7, 8]",True,True
paired_context_gap_safe_class_balanced_readout_calibrated,3,9,50,3.3980029537082905,0.8686050539563227,29.9043200640778,0.10915,45,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]",True,True
paired_context_gap_safe_class_balanced_readout_calibrated,4,9,50,3.616049982717054,0.9243427192783852,37.190374682958414,0.08015,36,0.0,[3],True,True
paired_context_gap_selected,0,9,50,3.12230473609032,0.7981304638950106,22.698633764503438,0.1119,49,0.0,"[2, 3, 9, 10, 11, 12, 13, 16, 18, 19, 22, 24]",True,True
paired_context_gap_selected,1,9,50,3.501483974713916,0.8950571021324301,33.16463093319114,0.09405,47,0.0,"[1, 2, 3, 4, 6, 7, 8, 9]",True,True
paired_context_gap_selected,2,9,50,3.6150478823029264,0.9240865601472308,37.153124860235664,0.0658,49,0.0,"[1, 3, 4, 6, 7, 8]",True,True
paired_context_gap_selected,3,9,50,3.399653020482977,0.8690268476861646,29.953704921986628,0.10915,45,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]",True,True
paired_context_gap_selected,4,9,50,3.6259409221837937,0.926871063169261,37.560047620240745,0.0873,36,0.0,[3],True,True
paired_context_temp_blend_selected_global,0,9,50,3.1875053509205458,0.8147971897143007,24.22791185389545,0.1174,49,0.0,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 13]",True,True
paired_context_temp_blend_selected_global,1,9,50,3.4612632222849715,0.8847757841613608,31.85719382479463,0.10935,47,0.0,"[1, 2, 3, 4, 6, 7, 8, 9]",True,True
paired_context_temp_blend_selected_global,2,9,50,3.242467103316468,0.8288466348018321,25.59679384765889,0.11425,49,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 15, 17, 18, 19]",True,True
paired_context_temp_blend_selected_global,3,9,50,3.3798380060918154,0.8639616897452048,29.366013612643865,0.10945,45,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]",True,True
paired_context_temp_blend_selected_global,4,9,50,3.624662325782467,0.9265442255204148,37.51205416718637,0.08775,36,0.005,[],False,True
paired_context_temp_blend_selected_head_guard_035,0,9,50,3.12230473609032,0.7981304638950106,22.698633764503438,0.1119,49,0.0,"[2, 3, 9, 10, 11, 12, 13, 16, 18, 19, 22, 24]",True,True
paired_context_temp_blend_selected_head_guard_035,1,9,50,3.501483974713916,0.8950571021324301,33.16463093319114,0.09405,47,0.0,"[1, 2, 3, 4, 6, 7, 8, 9]",True,True
paired_context_temp_blend_selected_head_guard_035,2,9,50,3.6150478823029264,0.9240865601472308,37.153124860235664,0.0658,49,0.0,"[1, 3, 4, 6, 7, 8]",True,True
paired_context_temp_blend_selected_head_guard_035,3,9,50,3.399653020482977,0.8690268476861646,29.953704921986628,0.10915,45,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]",True,True
paired_context_temp_blend_selected_head_guard_035,4,9,50,3.6259409221837937,0.926871063169261,37.560047620240745,0.0873,36,0.0,[3],True,True
paired_generic_weak_boundary_latent_calibrated,0,9,50,3.1875053509205458,0.8147971897143007,24.22791185389545,0.1174,49,0.0,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 13]",True,True
paired_generic_weak_boundary_latent_calibrated,1,9,50,3.3696606897339967,0.8613601415580655,29.068662088783384,0.0884,45,0.0,"[1, 2, 3, 4, 6, 7, 8, 9]",True,True
paired_generic_weak_boundary_latent_calibrated,2,9,50,3.6099189701432977,0.9227754962418008,36.96305758221335,0.06815,49,0.0,"[1, 3, 4, 5, 6, 7, 8]",True,True
paired_generic_weak_boundary_latent_calibrated,3,9,50,3.3798380060918154,0.8639616897452048,29.366013612643865,0.10945,45,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]",True,True
paired_generic_weak_boundary_latent_calibrated,4,9,50,3.624662325782467,0.9265442255204148,37.51205416718637,0.08775,36,0.005,[],False,True
paired_proto_global_head_ce_kl_guard_035,0,9,50,3.136823455942154,0.8018417712752813,23.03059284841372,0.106,49,0.0,"[2, 6, 8, 9, 10, 11, 12, 13, 16, 18, 19, 24]",True,True
paired_proto_global_head_ce_kl_guard_035,1,9,50,3.39047914553468,0.8666818014183978,29.680169984836414,0.08975,47,0.0,"[1, 2, 3, 4, 6, 7, 8, 9]",True,True
paired_proto_global_head_ce_kl_guard_035,2,9,50,3.304156776498124,0.8446158859274154,27.225574662628365,0.10695,49,0.0,"[1, 2, 3, 4, 6, 7, 8, 18, 19]",True,True
paired_proto_global_head_ce_kl_guard_035,3,9,50,3.4256859420739927,0.8756814408608196,30.74372603563989,0.098,47,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]",True,True
paired_proto_global_head_ce_kl_guard_035,4,9,50,3.623039114545928,0.9261292966628168,37.45121357128462,0.08835,36,0.0,[3],True,True
paired_proto_global_no_repair,0,9,50,3.082144498581867,0.7878646148821781,21.80511332714052,0.11995,49,0.0,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 16, 18, 19, 24]",True,True
paired_proto_global_no_repair,1,9,50,3.347415010325567,0.8556736516326324,28.42914951968065,0.09825,47,0.0,"[1, 2, 3, 4, 6, 7, 8, 9]",True,True
paired_proto_global_no_repair,2,9,50,3.273976249212036,0.8369010725829614,26.416168060031705,0.1141,49,0.0,"[1, 2, 3, 4, 5, 6, 7, 8, 18, 19]",True,True
paired_proto_global_no_repair,3,9,50,3.399235617901128,0.8689201503121282,29.94120477719409,0.10455,45,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]",True,True
paired_proto_global_no_repair,4,9,50,3.624662325782467,0.9265442255204148,37.51205416718637,0.08775,36,0.005,[],False,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,0,9,50,3.206212663182011,0.8195791943792804,24.6854169694878,0.11535,49,0.0,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 13]",True,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,1,9,50,3.4876394139792253,0.8915181248013968,32.708644932219165,0.0929,47,0.0,"[1, 2, 3, 4, 6, 7, 8, 9]",True,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,2,9,50,3.619991530678844,0.9253502665132356,37.33725159953968,0.05635,48,0.0,"[1, 3, 4, 5, 6, 7, 8]",True,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,3,9,50,3.3980029537082905,0.8686050539563227,29.9043200640778,0.10915,45,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]",True,True
paired_rc2o_v1_feature_only_regime_hard_selector_policy,4,9,50,3.616049982717054,0.9243427192783852,37.190374682958414,0.08015,36,0.0,[3],True,True
